clouds,humidity,latitude,temperature,wind
48,80,67.46,-13.0,3.6
88,98,-7.37,68.45,2.15
36,76,0.61,81.05,8.52
20,65,10.24,78.8,6.93
68,66,41.42,46.36,6.62
76,85,59.78,16.84,3.94
36,66,-14.4,84.61,7.52
75,93,36.62,53.6,1.12
48,95,45.68,32.7,2.24
0,76,64.75,-7.61,4.7
92,100,-45.87,48.02,2.93
75,87,-0.39,57.2,4.7
68,96,14.9,69.4,15.23
20,76,51.75,-5.81,4.61
8,62,69.01,-14.13,2.37
56,95,48.39,27.05,8.41
90,91,46.42,37.4,2.24
75,64,36.88,70.66,11.41
0,64,59.36,30.72,9.17
75,34,36.62,52.52,9.17
68,40,-4.97,74.89,10.42
90,85,39.65,13.8,8.05
36,63,50.29,-8.37,4.72
75,83,-20.01,77.0,6.96
8,100,73.51,-12.06,14.12
48,57,61.4,-20.25,2.59
76,68,58.38,7.3,8.08
76,71,71.64,-16.47,6.06
8,96,13.93,66.16,2.59
0,82,-34.02,66.2,3.36
90,93,33.83,64.44,9.98
75,72,27.91,62.6,13.87
0,81,38.8,52.72,11.41
75,92,59.7,17.6,8.95
56,41,71.98,-26.28,1.92
88,67,20.93,62.6,18.34
8,99,-7.95,69.22,2.71
88,100,2.67,82.18,14.56
20,81,69.7,-1.75,14.23
80,89,58.25,21.97,9.42
0,99,6.48,81.46,2.04
75,100,-19.11,69.8,2.24
75,23,-41.13,66.2,24.16
56,92,31.95,48.16,3.38
20,29,-17.48,75.25,7.52
0,65,48.29,5.23,4.38
0,84,65.99,-2.16,3.6
92,98,-5.12,75.07,2.93
75,100,60.55,25.72,6.93
12,70,67.55,-15.84,3.15
92,90,63.44,41.45,24.52
92,98,-29.34,71.6,3.71
90,64,46.89,36.52,7.07
75,85,59.76,23.94,6.93
8,73,28.16,64.81,9.53
90,93,39.75,46.42,4.7
40,91,44.71,32.0,11.41
40,92,33.93,30.2,6.93
36,93,15.5,70.97,2.59
90,73,-13.71,75.2,17.22
48,69,-25.24,78.8,3.36
44,100,60.14,24.35,33.91
36,65,20.78,67.19,1.92
80,93,-33.69,74.08,3.15
24,74,-18.92,80.65,10.76
40,45,55.74,1.4,8.05
0,96,21.09,74.8,7.63
90,80,55.34,30.83,3.36
75,86,35.73,35.11,6.93
40,51,-45.58,59.0,9.17
0,96,8.78,74.39,3.04
80,96,28.38,47.57,10.09
92,87,4.27,75.61,3.49
92,96,21.82,68.5,2.48
20,83,8.13,78.8,2.24
36,37,64.57,-27.18,1.36
8,56,6.54,75.07,7.63
0,54,49.49,-12.69,2.71
80,91,-27.01,67.6,8.97
40,69,27.25,78.78,12.75
90,100,-5.81,73.4,5.82
0,92,47.14,21.2,3.36
0,56,23.43,69.8,3.36
75,86,63.84,39.2,31.09
90,86,46.6,30.18,4.7
20,71,36.75,51.8,6.51
44,81,43.89,23.32,1.7
56,77,-42.48,58.82,4.5
0,20,-35.66,91.9,10.65
40,43,52.13,14.0,4.7
20,40,53.65,16.7,12.75
80,87,60.57,16.97,2.15
88,97,12.71,72.82,5.73
0,83,46.63,23.9,7.07
0,58,-34.18,73.22,15.68
100,93,5.35,76.37,8.52
92,96,64.25,41.68,23.51
0,66,42.84,11.62,2.37
75,100,31.5,43.77,4.7
80,95,-7.35,68.95,2.15
64,98,-2.54,71.38,1.14
48,75,0.07,81.28,10.09
8,100,48.65,26.11,5.39
56,100,12.79,75.47,6.73
40,73,-23.0,77.61,4.7
24,92,-12.05,79.07,6.17
44,87,3.52,73.72,3.49
75,77,35.95,66.76,8.05
0,81,37.14,53.6,4.7
12,54,-10.07,76.37,3.49
80,78,68.82,8.6,10.29
0,77,-22.09,70.57,5.5
80,99,24.5,54.64,3.6
90,92,45.25,20.84,16.11
8,92,27.93,48.52,1.48
40,66,15.09,84.2,13.87
76,94,-34.72,68.09,10.42
20,87,50.71,50.0,8.05
80,95,19.91,68.41,5.73
80,87,53.9,24.49,2.71
88,100,12.22,74.35,0.92
40,87,34.81,55.4,6.93
36,89,-23.19,70.52,3.15
0,99,-17.73,82.72,11.99
1,54,49.23,3.2,6.93
20,43,55.1,15.8,14.99
75,83,-19.98,77.0,6.96
75,100,26.58,41.0,6.71
90,69,30.04,76.55,13.87
56,68,42.18,0.55,6.73
24,50,27.03,57.07,7.52
0,93,38.18,50.0,4.7
75,77,16.18,68.0,11.41
75,100,41.92,46.4,3.04
64,73,57.84,2.75,5.17
0,91,-10.76,75.25,5.5
0,51,9.11,84.2,1.03
92,100,36.21,43.3,3.94
92,87,62.23,42.8,5.82
12,100,-3.28,79.75,8.97
0,100,43.32,25.52,16.02
92,100,-15.77,77.0,4.7
80,96,-13.68,70.48,2.04
8,54,22.9,83.44,9.53
48,92,-22.35,83.3,4.72
40,88,-3.71,78.8,2.24
0,83,-20.34,79.34,3.15
44,100,-1.57,80.29,2.71
44,41,65.95,-27.85,2.93
90,76,66.15,-7.61,2.24
44,65,36.41,50.5,14.0
75,85,71.03,26.22,3.36
5,68,63.75,-20.21,17.22
75,28,28.39,69.8,25.28
1,51,53.92,12.2,2.24
0,45,13.64,87.8,6.93
75,78,-17.53,78.8,12.75
0,28,-30.97,56.8,2.59
75,77,48.64,32.0,1.12
48,78,46.45,0.77,3.15
0,67,47.25,-9.45,9.53
92,100,-0.61,79.79,8.75
0,72,51.81,-2.43,8.08
76,48,-7.35,91.36,5.73
80,26,11.04,87.4,8.08
88,86,57.64,28.4,9.17
1,57,21.35,76.98,4.7
40,41,-24.79,79.88,8.05
36,27,22.68,65.12,3.38
0,29,16.42,81.01,13.0
40,44,26.33,59.0,5.82
44,80,63.79,1.67,5.39
90,100,64.73,33.8,24.61
75,74,7.04,81.48,4.7
20,54,53.22,5.0,14.99
8,71,9.62,80.47,2.15
64,90,-9.17,78.17,3.04
75,81,37.5,44.6,11.41
75,100,51.04,48.97,9.17
0,50,22.93,57.16,1.48
64,57,-23.7,80.6,4.7
88,28,20.52,75.34,4.72
76,79,-9.91,79.57,3.15
75,73,70.03,24.8,4.7
80,84,64.04,13.06,5.95
75,92,42.79,19.4,12.77
0,73,62.91,30.9,9.17
68,92,63.29,11.59,2.24
75,94,5.28,75.99,2.24
40,72,56.17,14.0,11.18
24,76,7.18,80.42,8.52
0,74,52.12,32.61,2.24
40,93,53.41,46.98,10.29
90,100,50.12,46.9,11.41
24,95,-7.57,67.42,2.59
75,79,67.67,28.4,2.24
44,100,59.83,16.7,9.64
0,100,42.34,7.79,4.61
20,79,6.63,84.2,3.36
24,100,5.95,66.65,1.92
0,64,19.1,71.6,6.93
80,99,7.98,75.16,8.08
75,94,-19.76,70.39,9.17
56,100,-25.3,77.68,9.19
48,100,-6.53,75.97,3.49
80,100,4.14,78.94,3.38
40,61,-5.09,80.6,8.05
20,81,35.84,53.6,11.41
75,93,42.77,46.4,8.05
